ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
21828,A3T S.A. (LU),Auditors,LU,21828,Reventrid
5160,André Clybouw (BE),Auditors,BE,5160,Reventrid
111341,App Audit GmbH (DE),Auditors,DE,111341,Reventrid
84327,Arcade Finance (FR),Auditors,FR,84327,Reventrid
72009,Artemis Audit & Advisory S.à r.l. (LU),Auditors,LU,72009,Reventrid
87507,Audit Europe Commissariat (FR),Auditors,FR,87507,Reventrid
84894,B2A (FR),Auditors,FR,84894,Reventrid
111784,Baker Tilly Audit & Assurance (LU),Auditors,LU,111784,Reventrid
87763,Barlow Andrews (GB),Auditors,GB,87763,Reventrid
17655,BDO Audit S.A. (LU),Auditors,LU,17655,Reventrid
83616,BDO France (FR),Auditors,FR,83616,Reventrid
69455,BDO Statsaut. Revisionsaktie. (DK),Auditors,DK,69455,Reventrid
87445,Cabinet Aplitec (FR),Auditors,FR,87445,Reventrid
84593,Cabinet Jean-Paul FOUCAULT (FR),Auditors,FR,84593,Reventrid
74108,Cabinet KPMG Audit (FR),Auditors,FR,74108,Reventrid
84035,Cabinet MBV (FR),Auditors,FR,84035,Reventrid
89719,Cabinet Philippe PACE (FR),Auditors,FR,89719,Reventrid
21985,Cabinet Sellam (FR),Auditors,FR,21985,Reventrid
15110,CLERC S.A. (LU),Auditors,LU,15110,Reventrid
83121,CLERC S.A. (LU),Auditors,LU,83121,Reventrid
87246,Compagnie des Techniques Financières (FR),Auditors,FR,87246,Reventrid
87060,Conseils Associés S.A. (FR),Auditors,FR,87060,Reventrid
84103,Constantin Associés (FR),Auditors,FR,84103,Reventrid
87448,Corevise S.A. (FR),Auditors,FR,87448,Reventrid
81488,Deloitte (BE),Auditors,BE,81488,Reventrid
5228,Deloitte & Touche Accountants B.V. (NL),Auditors,NL,5228,Reventrid
97978,Deloitte & Touche S.p.A. (IT),Auditors,IT,97978,Reventrid
83655,Deloitte (Liechtenstein) AG (LI),Auditors,LI,83655,Reventrid
83610,Deloitte AG (CH),Auditors,CH,83610,Reventrid
84161,Deloitte AS (NO),Auditors,NO,84161,Reventrid
97261,Deloitte Audit Limited (MT),Auditors,MT,97261,Reventrid
78277,Deloitte Audit S.à r.l. (LU),Auditors,LU,78277,Reventrid
10426,Deloitte et Associés (FR),Auditors,FR,10426,Reventrid
84263,Deloitte GmbH (DE),Auditors,DE,84263,Reventrid
67936,Deloitte Ireland LLP (IE),Auditors,IE,67936,Reventrid
80199,Deloitte LLP (GB),Auditors,GB,80199,Reventrid
87318,Deloitte Ltd (CY),Auditors,CY,87318,Reventrid
84455,Deloitte Réviseurs d'Entreprises (BE),Auditors,BE,84455,Reventrid
87490,Deloitte SR (DK),Auditors,DK,87490,Reventrid
2092,Deloitte Tax and Consulting SàRL (LU),Auditors,LU,2092,Reventrid
100506,"Deloitte, S. L. (ES)",Auditors,ES,100506,Reventrid
84264,DO AG Wirtschaftsprüfungsgesell. (DE),Auditors,DE,84264,Reventrid
21407,Ernst & Young (FR),Auditors,FR,21407,Reventrid
80665,Ernst & Young (IE),Auditors,IE,80665,Reventrid
5898,Ernst & Young (KY),Auditors,KY,5898,Reventrid
101403,Ernst & Young AB (SE),Auditors,SE,101403,Reventrid
5471,Ernst & Young Accountants (NL),Auditors,NL,5471,Reventrid
83997,Ernst & Young AG (CH),Auditors,CH,83997,Reventrid
83967,Ernst & Young GmbH (DE),Auditors,DE,83967,Reventrid
