ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
13956,CSC Global Services (Lux) Sàrl (LU),Central Administrations,LU,13956,Adminid
84129,1167 Capital LLP (GB),Central Administrations,GB,84129,Adminid
91738,12 NP SARL (LU),Central Administrations,LU,91738,Adminid
91334,1741 Fund Management AG (CH),Central Administrations,CH,91334,Adminid
105046,1741 Fund Management AG Lux Br (LU),Central Administrations,LU,105046,Adminid
84437,1741 Fund Solutions AG (CH),Central Administrations,CH,84437,Adminid
70833,3 Banken-Generali Investment-Ges. (AT),Central Administrations,AT,70833,Adminid
110002,6 Monks (6M) (LU),Central Administrations,LU,110002,Adminid
111366,Abeille Asset Management (FR),Central Administrations,FR,111366,Adminid
1595,Aberdeen Asset Management Plc (GB),Central Administrations,GB,1595,Adminid
73051,Aberdeen Private Wealth Mgt Ld (JE),Central Administrations,JE,73051,Adminid
82980,ABN AMRO Investment Solutions (FR),Central Administrations,FR,82980,Adminid
2372,ACATIS Investment KVG mbH (DE),Central Administrations,DE,2372,Adminid
87672,Accuro Fund Solutions AG (LI),Central Administrations,LI,87672,Adminid
99826,AcuFin Corp. LTD (MU),Central Administrations,MU,99826,Adminid
9843,Adepa Asset Management S.A. (LU),Central Administrations,LU,9843,Adminid
103012,AGAMA Advisors Sàrl (LU),Central Administrations,LU,103012,Adminid
73154,AIF Management Services S.A. (LU),Central Administrations,LU,73154,Adminid
68526,Alcyon SA (LU),Central Administrations,LU,68526,Adminid
72050,Alfred Berg Administration A/S (DK),Central Administrations,DK,72050,Adminid
16166,Alfred Berg Kapitalforvaltning AS (NO),Central Administrations,NO,16166,Adminid
10768,Allianz Global Investors GmbH (DE),Central Administrations,DE,10768,Adminid
72367,Allianz Global Investors GmbH Lux. B (LU),Central Administrations,LU,72367,Adminid
5654,Allianz Global Investors Ireland Ltd (IE),Central Administrations,IE,5654,Adminid
1509,Allianz Global Investors Lux. S.A. (LU),Central Administrations,LU,1509,Adminid
71837,Allianz Invest K. mbH (AT),Central Administrations,AT,71837,Adminid
15888,Alm. Brand Invest (DK),Central Administrations,DK,15888,Adminid
80206,Alpha Private Equity Funds Mgt Co (LU),Central Administrations,LU,80206,Adminid
69558,"ALPS Fund Services, Inc (US)",Central Administrations,US,69558,Adminid
72077,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE),Central Administrations,DE,72077,Adminid
10474,Alter Domus AA Fund Administration (LU),Central Administrations,LU,10474,Adminid
71113,Alter Domus Depositary Services Sàrl (LU),Central Administrations,LU,71113,Adminid
113644,Alter Domus Fund Services (IE) Ltd (IE),Central Administrations,IE,113644,Adminid
101545,Alter Domus Fund Services SAS (FR),Central Administrations,FR,101545,Adminid
51720,Alter Domus Luxembourg S.à r.l. (LU),Central Administrations,LU,51720,Adminid
18682,Alter Domus Management Company S.A. (LU),Central Administrations,LU,18682,Adminid
100373,Alter Domus Services Malta Limited (MT),Central Administrations,MT,100373,Adminid
101710,Altum Luxembourg S.A. (LU),Central Administrations,LU,101710,Adminid
113762,Amicorp Fund Services Luxembourg (LU),Central Administrations,LU,113762,Adminid
70749,Ampega Investment GmbH (DE),Central Administrations,DE,70749,Adminid
72014,Amundi Austria GmbH (AT),Central Administrations,AT,72014,Adminid
4617,Amundi Deutschland GmbH (DE),Central Administrations,DE,4617,Adminid
112563,Apex Corporate Services CH GmbH (CH),Central Administrations,CH,112563,Adminid
14072,Apex Fd and Corp Products S.A. (LU),Central Administrations,LU,14072,Adminid
103549,Apex Fd Services (Malta) Ltd (MT),Central Administrations,MT,103549,Adminid
101751,Apex Fund Services (BM),Central Administrations,BM,101751,Adminid
81263,Apex Fund Services (Ireland) Limited (IE),Central Administrations,IE,81263,Adminid
107965,Apex Fund Services (Mauritius) Ltd (MR),Central Administrations,MR,107965,Adminid
100366,Apex Fund Services S.A. (LU),Central Administrations,LU,100366,Adminid
100249,AQMetrics Limited (IE),Central Administrations,IE,100249,Adminid
105073,"Aquila Capital Ivt. mbH, Br. Lux (LU)",Central Administrations,LU,105073,Adminid
11322,Arc Asset Management S.A. (LU),Central Administrations,LU,11322,Adminid
84635,Arendt Investor Services S.A. (LU),Central Administrations,LU,84635,Adminid
91837,Ares Management Luxembourg (LU),Central Administrations,LU,91837,Adminid
88491,ARIA Limited (GB),Central Administrations,GB,88491,Adminid
82929,ARKK Compliance Limited (GB),Central Administrations,GB,82929,Adminid
16904,AS Avaron Asset Management (EE),Central Administrations,EE,16904,Adminid
72055,AS LHV Varahaldus (EE),Central Administrations,EE,72055,Adminid
80872,Asia Alternatives Management LLC (US),Central Administrations,US,80872,Adminid
100644,ASN Beleggingsinst. Beheer B.V. (NL),Central Administrations,NL,100644,Adminid
78308,Astorg Asset Management (LU),Central Administrations,LU,78308,Adminid
112407,Atoz Services S.A. (LU),Central Administrations,LU,112407,Adminid
2109,ATTRAX Financial Services S.A. (LU),Central Administrations,LU,2109,Adminid
81358,Auren Trust S.à .r.l. (LU),Central Administrations,LU,81358,Adminid
22805,AVANA Invest GMBH (DE),Central Administrations,DE,22805,Adminid
101386,Avega Capital Management S.A. (LU),Central Administrations,LU,101386,Adminid
108626,Avega Fund Services S.à r.l. (LU),Central Administrations,LU,108626,Adminid
114168,AXA IM Select France (FR),Central Administrations,FR,114168,Adminid
4200,Axa Investment Managers Deutsc. GmbH (DE),Central Administrations,DE,4200,Adminid
