ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
4961,Allianz Investmentbank AG (AT),Custodians,AT,4961,Bqedepid
72063,Alm. Brand Bank (DK),Custodians,DK,72063,Bqedepid
71113,Alter Domus Depositary Services Sàrl (LU),Custodians,LU,71113,Bqedepid
18626,Andbank Luxembourg S.A. (LU),Custodians,LU,18626,Bqedepid
3437,Anglo Austrian AAB Bank AG (AT),Custodians,AT,3437,Bqedepid
19771,AS Swedbank (LV),Custodians,LV,19771,Bqedepid
3023,B. Metzler Seel Sohn & Co. KGAA (DE),Custodians,DE,3023,Bqedepid
20090,Banca March (ES),Custodians,ES,20090,Bqedepid
5127,Banca Popolare di Sondrio SCpA (IT),Custodians,IT,5127,Bqedepid
4028,Banco de Sabadell S.A. (ES),Custodians,ES,4028,Bqedepid
3135,Banco Inversis S.A. (ES),Custodians,ES,3135,Bqedepid
51859,Bank für Tirol und Vorarlberg AG (AT),Custodians,AT,51859,Bqedepid
1667,Bank Gutmann AG (AT),Custodians,AT,1667,Bqedepid
3001,Bank J. Safra Sarasin AG (CH),Custodians,CH,3001,Bqedepid
1669,Bank Julius Bär & Co. Ltd (CH),Custodians,CH,1669,Bqedepid
87625,Bank of America Custodial Services (IE),Custodians,IE,87625,Bqedepid
4870,Bank of Bermuda (Guernsey) (GG),Custodians,GG,4870,Bqedepid
17478,Bank of Ireland (IE),Custodians,IE,17478,Bqedepid
84010,Bank of Valletta plc (MT),Custodians,MT,84010,Bqedepid
113408,Bank Pictet&Cie (Europe) AG Sec Lux (LU),Custodians,LU,113408,Bqedepid
22790,Bank Sarasin & Co. Ltd (CH),Custodians,CH,22790,Bqedepid
72038,Bankhaus Schelhammer & Schattera AG (AT),Custodians,AT,72038,Bqedepid
1679,Bankinter S.A. (ES),Custodians,ES,1679,Bqedepid
14887,Banque Bonhôte & Cie S.A. (CH),Custodians,CH,14887,Bqedepid
2988,Banque Cantonale de Geneve (CH),Custodians,CH,2988,Bqedepid
1685,Banque Cantonale Vaudoise (CH),Custodians,CH,1685,Bqedepid
1474,Banque de Luxembourg S.A. (LU),Custodians,LU,1474,Bqedepid
18842,Banque de Patrimoines Privés S.A. (LU),Custodians,LU,18842,Bqedepid
1475,Banque Degroof Petercam Luxembourg (LU),Custodians,LU,1475,Bqedepid
2341,Banque Degroof Petercam S.A. (BE),Custodians,BE,2341,Bqedepid
2540,Banque Delen N.V. (BE),Custodians,BE,2540,Bqedepid
72482,Banque Delubac & Cie (FR),Custodians,FR,72482,Bqedepid
1478,Banque et Caisse d'Epargne de l'Etat (LU),Custodians,LU,1478,Bqedepid
2292,Banque Fédérative du Crédit Mutuel (FR),Custodians,FR,2292,Bqedepid
83654,Banque Havilland (Liechtenstein) AG (LI),Custodians,LI,83654,Bqedepid
2145,Banque Havilland S.A. (LU),Custodians,LU,2145,Bqedepid
5645,Banque Internationale à Luxembourg (LU),Custodians,LU,5645,Bqedepid
10496,Banque J. Safra Sarasin (Lux) SA (LU),Custodians,LU,10496,Bqedepid
1585,Banque LBLux S.A. (LU),Custodians,LU,1585,Bqedepid
91843,Banque Lombard Odier & Cie SA (CH),Custodians,CH,91843,Bqedepid
2727,Banque Martin Maurel (FR),Custodians,FR,2727,Bqedepid
72550,Banque Palatine (FR),Custodians,FR,72550,Bqedepid
3032,Banque Pictet & Cie S.A. (CH),Custodians,CH,3032,Bqedepid
1705,Banque Piguet & Cie S.A. (Genève) (CH),Custodians,CH,1705,Bqedepid
87506,Banque Saint Olive (FR),Custodians,FR,87506,Bqedepid
