ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
106385,10xDNA Capital Partners GmbH (DE ),Promoters Marketers,Unknown,106385,Promid
84129,1167 Capital LLP (GB ),Promoters Marketers,Unknown,84129,Promid
105046,1741 Fund Management AG Lux Br (LU ),Promoters Marketers,Unknown,105046,Promid
84681,2Xideas AG (CH ),Promoters Marketers,Unknown,84681,Promid
70833,3 Banken-Generali Investment-Ges. (AT ),Promoters Marketers,Unknown,70833,Promid
69075,360 AM (FR ),Promoters Marketers,Unknown,69075,Promid
72481,360Hixance am (FR ),Promoters Marketers,Unknown,72481,Promid
21816,3P Solar GmbH (DE ),Promoters Marketers,Unknown,21816,Promid
18977,3TS Capital Partners Ltd (FI ),Promoters Marketers,Unknown,18977,Promid
105872,7orca Asset Management AG (DE ),Promoters Marketers,Unknown,105872,Promid
68318,8a+ Investimenti SGR S.p.A (IT ),Promoters Marketers,Unknown,68318,Promid
87242,A Plus Finance (FR ),Promoters Marketers,Unknown,87242,Promid
87009,A&G Banca Privada S.A. (ES ),Promoters Marketers,Unknown,87009,Promid
22375,"A&G Luxembourg AM, S.A. (LU )",Promoters Marketers,Unknown,22375,Promid
80369,A&L Listing Limited (IE ),Promoters Marketers,Unknown,80369,Promid
80735,A2Gestion (FR ),Promoters Marketers,Unknown,80735,Promid
101295,AAC Alpha GmbH (DE ),Promoters Marketers,Unknown,101295,Promid
84096,Abalone Asset Management Ltd (MT ),Promoters Marketers,Unknown,84096,Promid
69410,"Abante Asesores Gestion SGIIC, S.A. (ES )",Promoters Marketers,Unknown,69410,Promid
73858,Abaris Investment Management AG (CH ),Promoters Marketers,Unknown,73858,Promid
16356,Aberdeen AM Ltd Aberdeen (GB ),Promoters Marketers,Unknown,16356,Promid
1595,Aberdeen Asset Management Plc (GB ),Promoters Marketers,Unknown,1595,Promid
72421,Aberdeen Asset Mgt Gestion SNC (FR ),Promoters Marketers,Unknown,72421,Promid
83811,Aberdeen Direct Property (Hold) Ld (GB ),Promoters Marketers,Unknown,83811,Promid
73051,Aberdeen Private Wealth Mgt Ld (JE ),Promoters Marketers,Unknown,73051,Promid
10835,Aberdeen Property Invest. Corporate (NO ),Promoters Marketers,Unknown,10835,Promid
5710,Aberdeen Property Investors Hold. AB (SE ),Promoters Marketers,Unknown,5710,Promid
21320,ABN AMRO AIS Holding B.V. (NL ),Promoters Marketers,Unknown,21320,Promid
82980,ABN AMRO Investment Solutions (FR ),Promoters Marketers,Unknown,82980,Promid
71802,abrdn Fund Managers Limited (GB ),Promoters Marketers,Unknown,71802,Promid
13942,abrdn Investments Luxembourg S.A. (LU ),Promoters Marketers,Unknown,13942,Promid
78353,Absalon Cap Fondsmæglerselskab A/S (DK ),Promoters Marketers,Unknown,78353,Promid
26745,Abu Dhabi Investment Company (AE ),Promoters Marketers,Unknown,26745,Promid
71806,ACATIS Fair Value Investment AG (CH ),Promoters Marketers,Unknown,71806,Promid
2372,ACATIS Investment KVG mbH (DE ),Promoters Marketers,Unknown,2372,Promid
12828,Accendo Capital Managers S.à.r.l. (LU ),Promoters Marketers,Unknown,12828,Promid
71423,Access Capital Partners Group (BE ),Promoters Marketers,Unknown,71423,Promid
87672,Accuro Fund Solutions AG (LI ),Promoters Marketers,Unknown,87672,Promid
72423,Acer Finance (FR ),Promoters Marketers,Unknown,72423,Promid
87460,acevo GmbH (DE ),Promoters Marketers,Unknown,87460,Promid
113939,AcomeA SGR S.p.A. (IT ),Promoters Marketers,Unknown,113939,Promid
70834,ACP Partners Investment Managers (IE ),Promoters Marketers,Unknown,70834,Promid
17413,ACPI Investments Limited (GB ),Promoters Marketers,Unknown,17413,Promid
5679,ACT Currency Partner AG (CH ),Promoters Marketers,Unknown,5679,Promid
72422,Actis Asset Management (FR ),Promoters Marketers,Unknown,72422,Promid
17665,ADA a.s.b.l. (LU ),Promoters Marketers,Unknown,17665,Promid
93259,ADCB Asset Management Limited (AE ),Promoters Marketers,Unknown,93259,Promid
18609,Adenium SGR S.p.A (IT ),Promoters Marketers,Unknown,18609,Promid
9843,Adepa Asset Management S.A. (LU ),Promoters Marketers,Unknown,9843,Promid
101010,Aditum Investment Management Limited (AE ),Promoters Marketers,Unknown,101010,Promid
81708,Advenis Investment Managers (FR ),Promoters Marketers,Unknown,81708,Promid
69602,Advisory Invest GmbH (AT ),Promoters Marketers,Unknown,69602,Promid
10167,Aegon Asset Management UK plc (GB ),Promoters Marketers,Unknown,10167,Promid
84371,Aegon Investment Management B.V. (NL ),Promoters Marketers,Unknown,84371,Promid
72424,Aesope Gestion de Portefeuilles (FR ),Promoters Marketers,Unknown,72424,Promid
91309,AFD Fund Management Ltd (LU ),Promoters Marketers,Unknown,91309,Promid
108998,AFDGP Luxembourg SARL (LU ),Promoters Marketers,Unknown,108998,Promid
11321,AFFM S.A. (LU ),Promoters Marketers,Unknown,11321,Promid
72427,Aforge Degroof Family Office (FR ),Promoters Marketers,Unknown,72427,Promid
5516,AG Insurance SA/NV (BE ),Promoters Marketers,Unknown,5516,Promid
71835,AGEAS (FR ),Promoters Marketers,Unknown,71835,Promid
105974,Agence Française du Patrimoine (FR ),Promoters Marketers,Unknown,105974,Promid
114059,Aguja Capital GmbH (DE ),Promoters Marketers,Unknown,114059,Promid
80591,Ahead Wealth Solutions AG (LI ),Promoters Marketers,Unknown,80591,Promid
84262,AHP Capital Management GmbH (DE ),Promoters Marketers,Unknown,84262,Promid
97778,AIA Investment Management Private Ld (SG ),Promoters Marketers,Unknown,97778,Promid
80364,AIF Alternativ Invest Finance AG (LI ),Promoters Marketers,Unknown,80364,Promid
68058,AIFM Services S.A. (LU ),Promoters Marketers,Unknown,68058,Promid
100982,AKO Capital LLP (GB ),Promoters Marketers,Unknown,100982,Promid
21181,Akragas AG (CH ),Promoters Marketers,Unknown,21181,Promid
72378,Alatus Capital S.A. (CH ),Promoters Marketers,Unknown,72378,Promid
87987,"Albatros Activos XXI EAFI, S.L. (ES )",Promoters Marketers,Unknown,87987,Promid
19391,Albemarle Asset Management Ltd. (GB ),Promoters Marketers,Unknown,19391,Promid
17012,Alcentra Limited (GB ),Promoters Marketers,Unknown,17012,Promid
80800,Alegra Capital Lie AG (LI ),Promoters Marketers,Unknown,80800,Promid
1607,Alena S.A. (BE ),Promoters Marketers,Unknown,1607,Promid
