Category,Value,Text
Idpays,-1,All jurisdictions
Idpays,0,Non luxembourg jurisdiction
Idpays,17,Australia
Idpays,18,Austria
Idpays,28,Bahamas
Idpays,22,Belgium
Idpays,32,Bermuda
Idpays,236,British Virgin Islands
Idpays,41,Canada
Idpays,58,Cayman Islands
Idpays,45,China
Idpays,50,Cook Islands
Idpays,59,Cyprus
Idpays,60,Czech Republic
Idpays,64,Denmark
Idpays,72,Estonia
Idpays,74,Finland
Idpays,77,France
Idpays,61,Germany
Idpays,84,Gibraltar
Idpays,90,Greece
Idpays,94,Guernsey
Idpays,98,Hong Kong
Idpays,111,Iceland
Idpays,105,India
Idpays,109,Iran
Idpays,108,Ireland
Idpays,106,Isle of Man
Idpays,113,Italy
Idpays,117,Japan
Idpays,115,Jersey
Idpays,136,Latvia
Idpays,131,Liechtenstein
Idpays,135,Luxembourg
Idpays,157,Malaysia
Idpays,147,Malta
Idpays,152,Mauritania
Idpays,155,Mauritius
Idpays,143,Mexico
Idpays,139,Monaco
Idpays,166,Netherlands
Idpays,9,Netherlands Antilles
Idpays,167,Norway
Idpays,173,Panama
Idpays,182,Portugal
Idpays,188,Romania
Idpays,210,Seychelles
Idpays,194,Singapore
Idpays,207,Slovenia
Idpays,247,South Africa
Idpays,124,South Korea
Idpays,71,Spain
Idpays,208,Sweden
Idpays,43,Switzerland
Idpays,225,Taiwan
Idpays,223,Türkiye
Idpays,81,United Kingdom
Idpays,231,United States
Idpays,1,Unknown
Idpays,237,US Virgin islands
Promid,-1,Please choose a promoter
Promid,106385,10xDNA Capital Partners GmbH (DE )
Promid,84129,1167 Capital LLP (GB )
Promid,105046,1741 Fund Management AG Lux Br (LU )
Promid,84681,2Xideas AG (CH )
Promid,70833,3 Banken-Generali Investment-Ges. (AT )
Promid,69075,360 AM (FR )
Promid,72481,360Hixance am (FR )
Promid,21816,3P Solar GmbH (DE )
Promid,18977,3TS Capital Partners Ltd (FI )
Promid,105872,7orca Asset Management AG (DE )
Promid,68318,8a+ Investimenti SGR S.p.A (IT )
Promid,87242,A Plus Finance (FR )
Promid,87009,A&G Banca Privada S.A. (ES )
Promid,22375,"A&G Luxembourg AM, S.A. (LU )"
Promid,80369,A&L Listing Limited (IE )
Promid,80735,A2Gestion (FR )
Promid,101295,AAC Alpha GmbH (DE )
Promid,84096,Abalone Asset Management Ltd (MT )
Promid,69410,"Abante Asesores Gestion SGIIC, S.A. (ES )"
Promid,73858,Abaris Investment Management AG (CH )
Promid,16356,Aberdeen AM Ltd Aberdeen (GB )
Promid,1595,Aberdeen Asset Management Plc (GB )
Promid,72421,Aberdeen Asset Mgt Gestion SNC (FR )
Promid,83811,Aberdeen Direct Property (Hold) Ld (GB )
Promid,73051,Aberdeen Private Wealth Mgt Ld (JE )
Promid,10835,Aberdeen Property Invest. Corporate (NO )
Promid,5710,Aberdeen Property Investors Hold. AB (SE )
Promid,21320,ABN AMRO AIS Holding B.V. (NL )
Promid,82980,ABN AMRO Investment Solutions (FR )
Promid,71802,abrdn Fund Managers Limited (GB )
Promid,13942,abrdn Investments Luxembourg S.A. (LU )
Promid,78353,Absalon Cap Fondsmæglerselskab A/S (DK )
Promid,26745,Abu Dhabi Investment Company (AE )
Promid,71806,ACATIS Fair Value Investment AG (CH )
Promid,2372,ACATIS Investment KVG mbH (DE )
Promid,12828,Accendo Capital Managers S.à.r.l. (LU )
Promid,71423,Access Capital Partners Group (BE )
Promid,87672,Accuro Fund Solutions AG (LI )
Promid,72423,Acer Finance (FR )
Promid,87460,acevo GmbH (DE )
Promid,113939,AcomeA SGR S.p.A. (IT )
Promid,70834,ACP Partners Investment Managers (IE )
Promid,17413,ACPI Investments Limited (GB )
Promid,5679,ACT Currency Partner AG (CH )
Promid,72422,Actis Asset Management (FR )
Promid,17665,ADA a.s.b.l. (LU )
Promid,93259,ADCB Asset Management Limited (AE )
Promid,18609,Adenium SGR S.p.A (IT )
Promid,9843,Adepa Asset Management S.A. (LU )
Promid,101010,Aditum Investment Management Limited (AE )
Promid,81708,Advenis Investment Managers (FR )
Promid,69602,Advisory Invest GmbH (AT )
Promid,10167,Aegon Asset Management UK plc (GB )
Promid,84371,Aegon Investment Management B.V. (NL )
Promid,72424,Aesope Gestion de Portefeuilles (FR )
Promid,91309,AFD Fund Management Ltd (LU )
Promid,108998,AFDGP Luxembourg SARL (LU )
Promid,11321,AFFM S.A. (LU )
Promid,72427,Aforge Degroof Family Office (FR )
Promid,5516,AG Insurance SA/NV (BE )
Promid,71835,AGEAS (FR )
Promid,105974,Agence Française du Patrimoine (FR )
Promid,114059,Aguja Capital GmbH (DE )
Promid,80591,Ahead Wealth Solutions AG (LI )
Promid,84262,AHP Capital Management GmbH (DE )
Promid,97778,AIA Investment Management Private Ld (SG )
Promid,80364,AIF Alternativ Invest Finance AG (LI )
Promid,68058,AIFM Services S.A. (LU )
Promid,100982,AKO Capital LLP (GB )
Promid,21181,Akragas AG (CH )
Promid,72378,Alatus Capital S.A. (CH )
Promid,87987,"Albatros Activos XXI EAFI, S.L. (ES )"
Promid,19391,Albemarle Asset Management Ltd. (GB )
Promid,17012,Alcentra Limited (GB )
Promid,80800,Alegra Capital Lie AG (LI )
Promid,1607,Alena S.A. (BE )
Promid,72425,Alexandre Finance SAS (FR )
Promid,97979,Alfred Berg Fonder AB (SE )
Promid,16162,Alfred Berg Kapitalförvaltning AB (SE )
Promid,16166,Alfred Berg Kapitalforvaltning AS (NO )
