Service_Provider_Type,Company_Name,Country,Full_Name,ID,Original_Category,Search_Friendly_Type
Jurisdictions,Non luxembourg jurisdiction,,Non luxembourg jurisdiction,0,Idpays,Jurisdictions
Jurisdictions,Australia,,Australia,17,Idpays,Jurisdictions
Jurisdictions,Austria,,Austria,18,Idpays,Jurisdictions
Jurisdictions,Bahamas,,Bahamas,28,Idpays,Jurisdictions
Jurisdictions,Belgium,,Belgium,22,Idpays,Jurisdictions
Jurisdictions,Bermuda,,Bermuda,32,Idpays,Jurisdictions
Jurisdictions,British Virgin Islands,,British Virgin Islands,236,Idpays,Jurisdictions
Jurisdictions,Canada,,Canada,41,Idpays,Jurisdictions
Jurisdictions,Cayman Islands,,Cayman Islands,58,Idpays,Jurisdictions
Jurisdictions,China,,China,45,Idpays,Jurisdictions
Jurisdictions,Cook Islands,,Cook Islands,50,Idpays,Jurisdictions
Jurisdictions,Cyprus,,Cyprus,59,Idpays,Jurisdictions
Jurisdictions,Czech Republic,,Czech Republic,60,Idpays,Jurisdictions
Jurisdictions,Denmark,,Denmark,64,Idpays,Jurisdictions
Jurisdictions,Estonia,,Estonia,72,Idpays,Jurisdictions
Jurisdictions,Finland,,Finland,74,Idpays,Jurisdictions
Jurisdictions,France,,France,77,Idpays,Jurisdictions
Jurisdictions,Germany,,Germany,61,Idpays,Jurisdictions
Jurisdictions,Gibraltar,,Gibraltar,84,Idpays,Jurisdictions
Jurisdictions,Greece,,Greece,90,Idpays,Jurisdictions
Jurisdictions,Guernsey,,Guernsey,94,Idpays,Jurisdictions
Jurisdictions,Hong Kong,,Hong Kong,98,Idpays,Jurisdictions
Jurisdictions,Iceland,,Iceland,111,Idpays,Jurisdictions
Jurisdictions,India,,India,105,Idpays,Jurisdictions
Jurisdictions,Iran,,Iran,109,Idpays,Jurisdictions
Jurisdictions,Ireland,,Ireland,108,Idpays,Jurisdictions
Jurisdictions,Isle of Man,,Isle of Man,106,Idpays,Jurisdictions
Jurisdictions,Italy,,Italy,113,Idpays,Jurisdictions
Jurisdictions,Japan,,Japan,117,Idpays,Jurisdictions
Jurisdictions,Jersey,,Jersey,115,Idpays,Jurisdictions
Jurisdictions,Latvia,,Latvia,136,Idpays,Jurisdictions
Jurisdictions,Liechtenstein,,Liechtenstein,131,Idpays,Jurisdictions
Jurisdictions,Luxembourg,,Luxembourg,135,Idpays,Jurisdictions
Jurisdictions,Malaysia,,Malaysia,157,Idpays,Jurisdictions
Jurisdictions,Malta,,Malta,147,Idpays,Jurisdictions
Jurisdictions,Mauritania,,Mauritania,152,Idpays,Jurisdictions
Jurisdictions,Mauritius,,Mauritius,155,Idpays,Jurisdictions
Jurisdictions,Mexico,,Mexico,143,Idpays,Jurisdictions
Jurisdictions,Monaco,,Monaco,139,Idpays,Jurisdictions
Jurisdictions,Netherlands,,Netherlands,166,Idpays,Jurisdictions
Jurisdictions,Netherlands Antilles,,Netherlands Antilles,9,Idpays,Jurisdictions
Jurisdictions,Norway,,Norway,167,Idpays,Jurisdictions
Jurisdictions,Panama,,Panama,173,Idpays,Jurisdictions
Jurisdictions,Portugal,,Portugal,182,Idpays,Jurisdictions
Jurisdictions,Romania,,Romania,188,Idpays,Jurisdictions
Jurisdictions,Seychelles,,Seychelles,210,Idpays,Jurisdictions
Jurisdictions,Singapore,,Singapore,194,Idpays,Jurisdictions
Jurisdictions,Slovenia,,Slovenia,207,Idpays,Jurisdictions
Jurisdictions,South Africa,,South Africa,247,Idpays,Jurisdictions
Jurisdictions,South Korea,,South Korea,124,Idpays,Jurisdictions
Jurisdictions,Spain,,Spain,71,Idpays,Jurisdictions
Jurisdictions,Sweden,,Sweden,208,Idpays,Jurisdictions
Jurisdictions,Switzerland,,Switzerland,43,Idpays,Jurisdictions
Jurisdictions,Taiwan,,Taiwan,225,Idpays,Jurisdictions
Jurisdictions,Türkiye,,Türkiye,223,Idpays,Jurisdictions
Jurisdictions,United Kingdom,,United Kingdom,81,Idpays,Jurisdictions
Jurisdictions,United States,,United States,231,Idpays,Jurisdictions
Jurisdictions,Unknown,,Unknown,1,Idpays,Jurisdictions
Jurisdictions,US Virgin islands,,US Virgin islands,237,Idpays,Jurisdictions
Promoters Marketers,10xDNA Capital Partners GmbH (DE ),DE,10xDNA Capital Partners GmbH (DE ),106385,Promid,Promoters_Marketers
Promoters Marketers,1167 Capital LLP (GB ),GB,1167 Capital LLP (GB ),84129,Promid,Promoters_Marketers
Promoters Marketers,1741 Fund Management AG Lux Br (LU ),LU,1741 Fund Management AG Lux Br (LU ),105046,Promid,Promoters_Marketers
Promoters Marketers,2Xideas AG (CH ),CH,2Xideas AG (CH ),84681,Promid,Promoters_Marketers
Promoters Marketers,3 Banken-Generali Investment-Ges. (AT ),AT,3 Banken-Generali Investment-Ges. (AT ),70833,Promid,Promoters_Marketers
Promoters Marketers,360 AM (FR ),FR,360 AM (FR ),69075,Promid,Promoters_Marketers
Promoters Marketers,360Hixance am (FR ),FR,360Hixance am (FR ),72481,Promid,Promoters_Marketers
Promoters Marketers,3P Solar GmbH (DE ),DE,3P Solar GmbH (DE ),21816,Promid,Promoters_Marketers
Promoters Marketers,3TS Capital Partners Ltd (FI ),FI,3TS Capital Partners Ltd (FI ),18977,Promid,Promoters_Marketers
Promoters Marketers,7orca Asset Management AG (DE ),DE,7orca Asset Management AG (DE ),105872,Promid,Promoters_Marketers
Promoters Marketers,8a+ Investimenti SGR S.p.A (IT ),IT,8a+ Investimenti SGR S.p.A (IT ),68318,Promid,Promoters_Marketers
Promoters Marketers,A Plus Finance (FR ),FR,A Plus Finance (FR ),87242,Promid,Promoters_Marketers
Promoters Marketers,A&G Banca Privada S.A. (ES ),ES,A&G Banca Privada S.A. (ES ),87009,Promid,Promoters_Marketers
Promoters Marketers,"A&G Luxembourg AM, S.A. (LU )",LU,"A&G Luxembourg AM, S.A. (LU )",22375,Promid,Promoters_Marketers
Promoters Marketers,A&L Listing Limited (IE ),IE,A&L Listing Limited (IE ),80369,Promid,Promoters_Marketers
Promoters Marketers,A2Gestion (FR ),FR,A2Gestion (FR ),80735,Promid,Promoters_Marketers
Promoters Marketers,AAC Alpha GmbH (DE ),DE,AAC Alpha GmbH (DE ),101295,Promid,Promoters_Marketers
Promoters Marketers,Abalone Asset Management Ltd (MT ),MT,Abalone Asset Management Ltd (MT ),84096,Promid,Promoters_Marketers
Promoters Marketers,"Abante Asesores Gestion SGIIC, S.A. (ES )",ES,"Abante Asesores Gestion SGIIC, S.A. (ES )",69410,Promid,Promoters_Marketers
Promoters Marketers,Abaris Investment Management AG (CH ),CH,Abaris Investment Management AG (CH ),73858,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen AM Ltd Aberdeen (GB ),GB,Aberdeen AM Ltd Aberdeen (GB ),16356,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Asset Management Plc (GB ),GB,Aberdeen Asset Management Plc (GB ),1595,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Asset Mgt Gestion SNC (FR ),FR,Aberdeen Asset Mgt Gestion SNC (FR ),72421,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Direct Property (Hold) Ld (GB ),GB,Aberdeen Direct Property (Hold) Ld (GB ),83811,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Private Wealth Mgt Ld (JE ),JE,Aberdeen Private Wealth Mgt Ld (JE ),73051,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Property Invest. Corporate (NO ),NO,Aberdeen Property Invest. Corporate (NO ),10835,Promid,Promoters_Marketers
Promoters Marketers,Aberdeen Property Investors Hold. AB (SE ),SE,Aberdeen Property Investors Hold. AB (SE ),5710,Promid,Promoters_Marketers
Promoters Marketers,ABN AMRO AIS Holding B.V. (NL ),NL,ABN AMRO AIS Holding B.V. (NL ),21320,Promid,Promoters_Marketers
Promoters Marketers,ABN AMRO Investment Solutions (FR ),FR,ABN AMRO Investment Solutions (FR ),82980,Promid,Promoters_Marketers
Promoters Marketers,abrdn Fund Managers Limited (GB ),GB,abrdn Fund Managers Limited (GB ),71802,Promid,Promoters_Marketers
Promoters Marketers,abrdn Investments Luxembourg S.A. (LU ),LU,abrdn Investments Luxembourg S.A. (LU ),13942,Promid,Promoters_Marketers
Promoters Marketers,Absalon Cap Fondsmæglerselskab A/S (DK ),DK,Absalon Cap Fondsmæglerselskab A/S (DK ),78353,Promid,Promoters_Marketers
Promoters Marketers,Abu Dhabi Investment Company (AE ),AE,Abu Dhabi Investment Company (AE ),26745,Promid,Promoters_Marketers
Promoters Marketers,ACATIS Fair Value Investment AG (CH ),CH,ACATIS Fair Value Investment AG (CH ),71806,Promid,Promoters_Marketers
