ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
13956,CSC Global Services (Lux) Sàrl (LU),Transfer Agents,LU,13956,Tenregid
70833,3 Banken-Generali Investment-Ges. (AT),Transfer Agents,AT,70833,Tenregid
110002,6 Monks (6M) (LU),Transfer Agents,LU,110002,Tenregid
22375,"A&G Luxembourg AM, S.A. (LU)",Transfer Agents,LU,22375,Tenregid
13942,abrdn Investments Luxembourg S.A. (LU),Transfer Agents,LU,13942,Tenregid
87672,Accuro Fund Solutions AG (LI),Transfer Agents,LI,87672,Tenregid
9843,Adepa Asset Management S.A. (LU),Transfer Agents,LU,9843,Tenregid
73154,AIF Management Services S.A. (LU),Transfer Agents,LU,73154,Tenregid
68526,Alcyon SA (LU),Transfer Agents,LU,68526,Tenregid
72050,Alfred Berg Administration A/S (DK),Transfer Agents,DK,72050,Tenregid
16166,Alfred Berg Kapitalforvaltning AS (NO),Transfer Agents,NO,16166,Tenregid
2105,AllianceBernstein Investor Services (LU),Transfer Agents,LU,2105,Tenregid
10768,Allianz Global Investors GmbH (DE),Transfer Agents,DE,10768,Tenregid
5654,Allianz Global Investors Ireland Ltd (IE),Transfer Agents,IE,5654,Tenregid
71837,Allianz Invest K. mbH (AT),Transfer Agents,AT,71837,Tenregid
15888,Alm. Brand Invest (DK),Transfer Agents,DK,15888,Tenregid
69558,"ALPS Fund Services, Inc (US)",Transfer Agents,US,69558,Tenregid
72077,ALTE LEIPZIGER Trust Ivt-Gesellsch. (DE),Transfer Agents,DE,72077,Tenregid
10474,Alter Domus AA Fund Administration (LU),Transfer Agents,LU,10474,Tenregid
113762,Amicorp Fund Services Luxembourg (LU),Transfer Agents,LU,113762,Tenregid
70749,Ampega Investment GmbH (DE),Transfer Agents,DE,70749,Tenregid
72014,Amundi Austria GmbH (AT),Transfer Agents,AT,72014,Tenregid
4617,Amundi Deutschland GmbH (DE),Transfer Agents,DE,4617,Tenregid
91423,Amundi Tenue de Comptes (FR),Transfer Agents,FR,91423,Tenregid
18626,Andbank Luxembourg S.A. (LU),Transfer Agents,LU,18626,Tenregid
103549,Apex Fd Services (Malta) Ltd (MT),Transfer Agents,MT,103549,Tenregid
81263,Apex Fund Services (Ireland) Limited (IE),Transfer Agents,IE,81263,Tenregid
19095,Apex Fund Services (Malta) Ltd Lux (LU),Transfer Agents,LU,19095,Tenregid
107965,Apex Fund Services (Mauritius) Ltd (MR),Transfer Agents,MR,107965,Tenregid
100366,Apex Fund Services S.A. (LU),Transfer Agents,LU,100366,Tenregid
84635,Arendt Investor Services S.A. (LU),Transfer Agents,LU,84635,Tenregid
16904,AS Avaron Asset Management (EE),Transfer Agents,EE,16904,Tenregid
72055,AS LHV Varahaldus (EE),Transfer Agents,EE,72055,Tenregid
2109,ATTRAX Financial Services S.A. (LU),Transfer Agents,LU,2109,Tenregid
22805,AVANA Invest GMBH (DE),Transfer Agents,DE,22805,Tenregid
101386,Avega Capital Management S.A. (LU),Transfer Agents,LU,101386,Tenregid
108626,Avega Fund Services S.à r.l. (LU),Transfer Agents,LU,108626,Tenregid
4200,Axa Investment Managers Deutsc. GmbH (DE),Transfer Agents,DE,4200,Tenregid
2443,AXA Investment Managers Paris (FR),Transfer Agents,FR,2443,Tenregid
13959,Aztec Financial Services (Lux) S.A. (LU),Transfer Agents,LU,13959,Tenregid
87523,Baillie Gifford & Co Limited (GB),Transfer Agents,GB,87523,Tenregid
3135,Banco Inversis S.A. (ES),Transfer Agents,ES,3135,Tenregid
100927,Bank Frick & Co. AG (LI),Transfer Agents,LI,100927,Tenregid
3001,Bank J. Safra Sarasin AG (CH),Transfer Agents,CH,3001,Tenregid
10315,Bank of Bermuda Limited (KY),Transfer Agents,KY,10315,Tenregid
87219,Bank of Ireland Securities Services (IE),Transfer Agents,IE,87219,Tenregid
72039,Bankhaus Schelhammer & Schattera K. (AT),Transfer Agents,AT,72039,Tenregid
1679,Bankinter S.A. (ES),Transfer Agents,ES,1679,Tenregid
1685,Banque Cantonale Vaudoise (CH),Transfer Agents,CH,1685,Tenregid
1474,Banque de Luxembourg S.A. (LU),Transfer Agents,LU,1474,Tenregid
18842,Banque de Patrimoines Privés S.A. (LU),Transfer Agents,LU,18842,Tenregid
2341,Banque Degroof Petercam S.A. (BE),Transfer Agents,BE,2341,Tenregid
2540,Banque Delen N.V. (BE),Transfer Agents,BE,2540,Tenregid
2292,Banque Fédérative du Crédit Mutuel (FR),Transfer Agents,FR,2292,Tenregid
83654,Banque Havilland (Liechtenstein) AG (LI),Transfer Agents,LI,83654,Tenregid
2145,Banque Havilland S.A. (LU),Transfer Agents,LU,2145,Tenregid
5645,Banque Internationale à Luxembourg (LU),Transfer Agents,LU,5645,Tenregid
10496,Banque J. Safra Sarasin (Lux) SA (LU),Transfer Agents,LU,10496,Tenregid
1585,Banque LBLux S.A. (LU),Transfer Agents,LU,1585,Tenregid
2727,Banque Martin Maurel (FR),Transfer Agents,FR,2727,Tenregid
72550,Banque Palatine (FR),Transfer Agents,FR,72550,Tenregid
87506,Banque Saint Olive (FR),Transfer Agents,FR,87506,Tenregid
4471,BayernInvest Kapitalanlagegesel. mbH (DE),Transfer Agents,DE,4471,Tenregid
4415,BayernInvest Luxembourg S.A. (LU),Transfer Agents,LU,4415,Tenregid
1807,Belfius Bank S.A. (BE),Transfer Agents,BE,1807,Tenregid
1480,BGL BNP Paribas Société Anonyme (LU),Transfer Agents,LU,1480,Tenregid
72052,BI Management A/S (DK),Transfer Agents,DK,72052,Tenregid
