S K T
Phone No: 9150366098


Expense Transactions
Dated: 2023-04-01-2024-03-31


Date,Serial No.,Exp. Name,Pymt Mode,Amt.,Notes
29-03-2024,2150,SK,Cash,90.0,""
28-03-2024,2149,SK,Cash,2400.0,""
27-03-2024,2148,SK,Cash,1620.0,""
26-03-2024,2147,SK,Cash,1200.0,""
25-03-2024,2146,SK,Cash,39860.0,""
23-03-2024,2145,SK,Cash,5270.0,""
22-03-2024,2144,SK,Cash,1170.0,""
21-03-2024,2143,SK,Cash,12810.0,""
21-03-2024,2142,SK,Bank,3585.0,""
20-03-2024,2141,recharge,Bank,239.0,""
20-03-2024,2140,SK,Cash,1030.0,""
19-03-2024,2139,SK,Cash,2210.0,""
18-03-2024,2138,SK,Cash,7190.0,""
14-03-2024,2137,SK,Cash,1220.0,""
13-03-2024,2136,SK,Cash,590.0,""
12-03-2024,2135,SK,Cash,200.0,""
12-03-2024,2134,SK,Bank,15850.0,""
11-03-2024,2133,Rent Expense,Bank,16030.0,""
11-03-2024,2132,SK,Cash,580.0,""
23-02-2024,2131,TEA,Bank,200.0,""
23-02-2024,2130,Employee Salaries & Advances,Cash,18250.0,""
22-02-2024,2129,SK,Cash,630.0,""
22-02-2024,2128,FOOD,Bank,450.0,""
21-02-2024,2127,EB BILL,Bank,2278.0,""
21-02-2024,2126,SK,Cash,6240.0,""
20-02-2024,2125,SK,Cash,500.0,""
19-02-2024,2124,SK,Cash,2680.0,""
17-02-2024,2123,SK,Cash,900.0,""
17-02-2024,2122,recharge,Bank,241.0,""
16-02-2024,2121,TRAVEL EXPENSE (KIRAN),Bank,1900.0,""
16-02-2024,2120,SK,Cash,6210.0,""
15-02-2024,2119,TEA,Cash,50.0,""
14-02-2024,2118,SK,Cash,6350.0,""
13-02-2024,2117,SK,Cash,650.0,""
12-02-2024,2116,SK,Cash,50.0,""
10-02-2024,2115,SK,Cash,37000.0,""
09-02-2024,2114,SK,Cash,1130.0,""
09-02-2024,2113,TRAVEL EXPENSE (KIRAN),Bank,6750.0,""
08-02-2024,2112,UKESH SAVINGS,Bank,15000.0,""
08-02-2024,2111,SK,Cash,4800.0,""
08-02-2024,2110,Bank Fee and Charges,Bank,15060.0,""
07-02-2024,2109,TEA,Cash,100.0,""
07-02-2024,2108,LOADMAN CHARGES,Cash,70.0,""
06-02-2024,2107,LOADMAN CHARGES,Cash,140.0,""
06-02-2024,2106,FOOD,Cash,30.0,""
06-02-2024,2105,POOJA MATERIAL,Cash,160.0,""
06-02-2024,2104,WATER CAN,Cash,30.0,""
05-02-2024,2103,LOADMAN CHARGES,Cash,140.0,""
05-02-2024,2102,LOADMAN CHARGES,Cash,290.0,""
05-02-2024,2101,TEA,Cash,20.0,""
03-02-2024,2100,SK,Cash,11440.0,""
02-02-2024,2099,SK,Cash,660.0,""
02-02-2024,2098,SK,Bank,900.0,""
01-02-2024,2097,SK,Cash,1750.0,""
31-01-2024,2096,SK,Cash,2600.0,""
30-01-2024,2095,SK,Cash,1880.0,""
26-01-2024,2094,SK,Cash,460.0,""
25-01-2024,2093,SK,Cash,3260.0,""
24-01-2024,2092,SK,Cash,1750.0,""
23-01-2024,2091,SK,Cash,4550.0,""
22-01-2024,2090,Bank Fee and Charges,Bank,20.0,""
22-01-2024,2089,SK,Cash,160.0,""
20-01-2024,2088,Raw Material,Bank,350.0,""
20-01-2024,2087,SK,Cash,130.0,""
19-01-2024,2086,TRAVEL EXPENSE (KIRAN),Cash,2600.0,""
19-01-2024,2085,recharge,Bank,240.0,""
19-01-2024,2084,SK,Cash,1760.0,""
18-01-2024,2083,Bank Fee and Charges,Bank,15.0,""
18-01-2024,2082,SK,Cash,4050.0,""
13-01-2024,2081,SK,Cash,790.0,""
12-01-2024,2080,AIRTEL BILL,Bank,7030.0,""
12-01-2024,2079,SK,Cash,1550.0,""
11-01-2024,2078,SK,Cash,760.0,""
10-01-2024,2077,SK,Cash,880.0,""
09-01-2024,2076,KIRAN SAVINGS,Bank,15000.0,""
09-01-2024,2075,SK,Bank,200.0,""
09-01-2024,2074,SK,Cash,21400.0,""
09-01-2024,2073,SK,Bank,4000.0,""
08-01-2024,2072,Employee Salaries & Advances,Cash,5000.0,""
08-01-2024,2071,Transportation & Travel Expense,Bank,1900.0,""
08-01-2024,2070,Rent Expense,Bank,15000.0,""
08-01-2024,2069,UKESH SAVINGS,Bank,5000.0,""
08-01-2024,2068,UKESH SAVINGS,Bank,10000.0,""
08-01-2024,2067,SK,Cash,6940.0,""
06-01-2024,2066,SK,Cash,1020.0,""
05-01-2024,2065,SK,Cash,560.0,""
04-01-2024,2064,SK,Cash,840.0,""
03-01-2024,2063,SK,Cash,3880.0,""
30-12-2023,2062,EB BILL,Bank,2257.0,""
30-12-2023,2061,Employee Salaries & Advances,Cash,11000.0,""
30-12-2023,2060,SK,Cash,3480.0,""
29-12-2023,2059,SK,Cash,480.0,""
28-12-2023,2058,SK,Cash,1700.0,""
27-12-2023,2057,SK,Cash,3290.0,""
26-12-2023,2056,Bank Fee and Charges,Bank,15.0,""
26-12-2023,2055,SK,Cash,2780.0,""
25-12-2023,2054,SK,Cash,950.0,""
23-12-2023,2053,SK,Cash,7640.0,""
22-12-2023,2052,SK,Cash,3950.0,""
18-12-2023,2051,SK,Cash,350.0,""
16-12-2023,2050,PETROL,Cash,50.0,""
16-12-2023,2049,TEA,Cash,20.0,""
16-12-2023,2048,LOADMAN CHARGES,Cash,420.0,""
16-12-2023,2047,WATER CAN,Cash,30.0,""
15-12-2023,2046,TEA,Cash,20.0,""
15-12-2023,2045,LOADMAN CHARGES,Cash,280.0,""
14-12-2023,2044,SK,Cash,29230.0,""
13-12-2023,2043,Rent Expense,Bank,15000.0,""
13-12-2023,2042,SK,Cash,15000.0,""
13-12-2023,2041,SK,Cash,4860.0,""
13-12-2023,2040,UKESH SAVINGS,Bank,7500.0,""
12-12-2023,2039,SK,Cash,7800.0,""
11-12-2023,2038,SK,Cash,2640.0,""
09-12-2023,2037,SK,Cash,250.0,""
02-12-2023,2036,SK,Cash,10900.0,""
08-12-2023,2035,TEA,Cash,80.0,""
08-12-2023,2034,LOADMAN CHARGES,Cash,210.0,""
08-12-2023,2033,Transportation & Travel Expense,Cash,220.0,""
07-12-2023,2032,LOADMAN CHARGES,Cash,250.0,""
08-12-2023,2031,SK,Cash,50.0,""
06-12-2023,2030,LOADMAN CHARGES,Cash,350.0,""
06-12-2023,2029,TEA,Cash,20.0,""
06-12-2023,2028,Transportation & Travel Expense,Cash,2500.0,""
01-12-2023,2027,SK,Cash,900.0,""
01-12-2023,2026,SK,Cash,660.0,""
01-12-2023,2025,FOOD,Bank,150.0,""
30-11-2023,2024,FOOD,Bank,650.0,""
30-11-2023,2023,SK,Cash,12730.0,""
29-11-2023,2022,FOOD,Bank,250.0,""
29-11-2023,2021,Transportation & Travel Expense,Cash,490.0,""
28-11-2023,2020,LOADMAN CHARGES,Cash,250.0,""
28-11-2023,2019,Raw Material,Cash,150.0,""
28-11-2023,2018,FOOD,Bank,150.0,""
27-11-2023,2017,TEA,Cash,60.0,""
27-11-2023,2016,LOADMAN CHARGES,Cash,70.0,""
27-11-2023,2015,Raw Material,Bank,2600.0,""
27-11-2023,2014,Transportation & Travel Expense,Cash,300.0,""
27-11-2023,2013,PETROL,Cash,200.0,""
27-11-2023,2012,WATER CAN,Cash,60.0,""
25-11-2023,2011,Transportation & Travel Expense,Cash,250.0,""
25-11-2023,2010,LOADMAN CHARGES,Cash,850.0,""
25-11-2023,2009,TEA,Cash,50.0,""
25-11-2023,2008,Transportation & Travel Expense,Cash,300.0,""
24-11-2023,2007,LOADMAN CHARGES,Cash,300.0,""
24-11-2023,2006,TEA,Cash,100.0,""
24-11-2023,2005,FOOD,Cash,100.0,""
24-11-2023,2004,Transportation & Travel Expense,Cash,3000.0,""
24-11-2023,2003,POOJA MATERIAL,Cash,60.0,""
23-11-2023,2002,LOADMAN CHARGES,Cash,30.0,""
23-11-2023,2001,LOADMAN CHARGES,Cash,200.0,""
23-11-2023,2000,Employee Salaries & Advances,Cash,1000.0,""
23-11-2023,1999,TEA,Bank,400.0,""
23-11-2023,1998,Raw Material,Cash,550.0,""
23-11-2023,1997,PETROL,Cash,50.0,""
23-11-2023,1996,Transportation & Travel Expense,Cash,220.0,""
22-11-2023,1995,Transportation & Travel Expense,Cash,3000.0,""
22-11-2023,1994,recharge,Bank,250.0,""
22-11-2023,1993,LOADMAN CHARGES,Cash,280.0,""
22-11-2023,1992,LOADMAN CHARGES,Cash,200.0,""
21-11-2023,1991,LOADMAN CHARGES,Cash,750.0,""
21-11-2023,1990,TEA,Cash,60.0,""
21-11-2023,1989,WATER CAN,Cash,30.0,""
20-11-2023,1988,Bank Fee and Charges,Bank,40.0,""
20-11-2023,1987,LOADMAN CHARGES,Cash,500.0,""
20-11-2023,1986,TEA,Cash,60.0,""
20-11-2023,1985,Transportation & Travel Expense,Cash,2500.0,""
20-11-2023,1984,POOJA MATERIAL,Cash,50.0,""
20-11-2023,1983,Raw Material,Cash,2500.0,""
10-11-2023,1982,TRAVEL EXPENSE(UKESH),Cash,1000.0,""
10-11-2023,1981,Employee Salaries & Advances,Cash,12000.0,""
10-11-2023,1980,POOJA MATERIAL,Cash,3100.0,""
09-11-2023,1979,TRAVEL EXPENSE (KIRAN),Bank,5000.0,""
09-11-2023,1978,STICKERS,Cash,10000.0,""
09-11-2023,1977,KIRAN &UKESH SPLIT ,Cash,10000.0,""
09-11-2023,1976,Rent Expense,Bank,15000.0,""
09-11-2023,1975,KIRAN SAVINGS,Cash,15000.0,""
09-11-2023,1974,LOADMAN CHARGES,Cash,70.0,""
09-11-2023,1973,WATER CAN,Cash,30.0,""
