S K T
Phone No: 9150366098


All Party Balance
Dated: 2019-04-25-2024-11-21
To Pay: 2883310.43
To Collect: 0.0


Name,GST,Address,Mob No.,Bal.,Party Category
"ASHOKAA. , Komarapalayam","",KOMARAPALAYAM,9444030040,-16200.0,
"BANKE BIHARI METAL WORKS ,Aligarh",09AUYPS9701L1ZH,ALIGARH,9058750750,-319806.2,
"DEEPA TRADERS , Komarapalayam","","2-5559/3, KULLAPPA NAGAR,
OLAPPALAYAM ROAD,
KOMARAPALAYAM-638183
ERODE 
",9894185082,-14260.0,
"EKTA FABRICS(KRISHNA) , AHMEDABAD","","",9099119335,-32050.0,
"FAIJUL MK , GOBICHEETYPALAM","",GOBICHEETYPALAM,9688474356,-40.0,
"GULSHAN KNITWEARS , LUDHIANA","",LUDHIANA,"",-71040.0,
"JAIN STORES , Attur","",Attur,"",-0.01,
KIRAN KUMAR,"","",,-285950.0,
KIRAN LONE BOI,"","",,-394400.0,
"K.L.M TEXTILES , Erode","",ERODE,9312137295,-37012.0,
Laxmi Bangles Thanjavur ,33CRYPM2669G1Z6,"NO.15/1272, SULTHANIAPPA LANE, Thanjavur, Tamil Nadu, pin: 613001",7010985755,-0.02,
New narasingh hosiery,,"874, Tilak nagar , ( Ganji Chhapri ), near old MadhopuriChowk ","",-283740.0,
omega hankies,"",ahmedabad,,-18.0,
"RAMDEV TRADING COMPANY , AHMEDABAD","","SHED NO - A/24-F.F,  PUSHP. IND.
PARK &ARCADE,
RAJPUR MILL,
RAKHIAL ROAD,
AHMEDABAD-380023",9726189521,-427524.0,
"R S TEXTILES , AMBEDKAR NAGAR U.P",09BPDPA4460H1Z4,"SAKRAWAL EAST POST, TANDA DIST- AMBEDKAR NAGAR U.P
MOB- 9454376057, 9682456944",9140327650,-47300.2,
"SHYAM TEXTILES , PALLIPALAYAM, ERODE","","PALLIPALAYAM, ERODE",9894128527,-291494.0,
SONU KIRAN,"","",,-300000.0,
"SUMEET TEXILES , KARUR","","45,80 FEET ROAD , SENGUNTHAPURAM 
KARUR-639002",9443350007,-16236.0,
UKESH LOAN BOI,"","",,-326422.0,
"VIVEK CAP AGENCY , Chennai","","NO 6 KASI CHETTY STREET 
 CHENNAI -01",8148420481,-19818.0,
