S K T
Phone No: 9150366098


All Party Balance
Dated: 2019-04-25-2024-11-21
To Pay: 0.0
To Collect: 2226885.43


Name,GST,Address,Mob No.,Bal.,Party Category
"AJ TEXTILES , Villupram","","NO.2/1075-441,1STFLOOR, V.G.P. NAGAR (WEST)
NEAR:NEW BUS STAND,
VILLUPURAM-605602",6385235137,49338.0,
"AMBIKA FANCY STORE, Chidambaram","","RENGARAJAN COMPLEX 15, V.G.P STREET , 
NEW BUS STAND ,
CHIDAMBARAM ",9940910977,41700.0,
"ANANTHAM TEXTILES, Pattukottai","",PATTUKOTTAI,9994757722,23900.01,
"ASHAPURA FANCY STORE ,Cuddalore","","NO.12,BUDI CHETTY STREET,
THIRUPAPULIYUR
CUDDALORE-607002",8098224968,11890.0,
"BALAJI BANGLE STORE, Virudachalam","",VIRUDACHALAM,9791557838,0.01,
"BALAJI CAP HOUSE, Chennai","","NO.51/52, BUNDER STREET , GROUND FLOOR",9840408186,22030.0,
"BALAJI NOVELTY , Tindivanaam","",TINDIVANAM,9655047299,24095.0,
"BHAVANI NOVELTY , Tiruvarur","",TIRUVARUR,8526253668,64200.0,
"BISMI CUT PIECE, PATTUKOTTAI","",PATTUKOTTAI,"",88858.0,
"BISMI CUT PIECE, THANJAUR","",THANJAVUR,9894479157,62335.0,
BISMI CUT PIECE. Thiruvannamalai,"",THIRUVANNAMALAI,9629017411,72490.0,
"BISMI ,  VIRUDHACHALAM","",VIRUDHACHALAM,9790328567,50830.0,
"DIAMOND BANGLE STORE , MADURANTHAGAM","","45,SHANTI STREET, MADURANTHAGAM",9620953417,22822.0,
"DIAMOND FANCY STORE , VANDAVASI","",VANDAVASI,9003276963,15850.5,
Gayathri bangles. Thiruvarur,"",THIRUVARUR,9786401851,3266.0,
HANEEFA TEXTILES,"","11/A1, NABEEL COMPLEX
NEAR G.H, AVAYAMBALPURAM
MAYILADUTHURAI -609001","",13665.0,
"JAI BHAVANI , Thiruthuraipoondi","",Thiruthuraipoondi,9865217850,5000.0,
"KAVERI BANGLES STORE , THIRUVANNAMALAI","",THIRUVANNAMALAI,"",16000.0,
"KAVITA STORES , Karaikal, Puducherry","",Karaikal,9486555093,21030.0,
"K RAJ BANGLES STORE , KALLAKURICHI","",KALLAKURICHI,9884543757,46970.89,
"KRISHNA NOVELTY , Attur","",ATTUR,9443698601,9000.0,
KRISHNA TRADING COMPANY,"",SALEM,,1080.0,
"KV FANCY , VIRUDACHALAM","",VIRUDACHALAM,8940019080,4482.0,
"LABDHEE ENTERPRISES , Chennai","",CHENNAI-600079,8056119696,16658.0,
"MAHALAKSHMI NOVELTY , ULUNDURPET","",ULUNDURPET,9994280701,11980.0,
"MAHALAXMI GENERAL STORE , WEST TAMBARAM","","26/19, AYYASAMY STREET 
1st FLOOR , WEST TAMBARAM ,
CHENNAI",9940208446,21464.0,
"MAHAVEER BANGLE STORE , THURAIYUR","",THURAIYUR,7845151828,9360.0,
"MATAJI BANGLES , CHIDAMBARAM","",CHIDAMBARAM,9444000976,0.01,
"MK DECORS , Chennai",33FAHPS5888C1ZA,"6/4, dharmraja koil street, chennai-1  ",9884104666,14688.0,
"NEW BALU VALAYAL MANDI ,  MAYILADUTHURAI","","17-M  PATTAMANGALA METTU STREET , MAYILADUTHURAI -609001",9385516176,5000.03,
"NFS , UTHUKOTTAI","",UTHUKOTTAI,7845577455,7770.0,
"OM SRI RAJESHWAR FANCY , NAGAPATTINAM","",NAGAPATTINAM,9003325425,220.0,
Parkar &co ,,"E-181,shastri nagar , near pnb babk ",,2788.0,
RAHMAN TEXTILES,"",KALLAKURICHI,,21184.0,
"RAJA CUT PIECE , KALLAKURICHI","",KALLAKURICHI,"",29755.01,
RAJARAM BANGLES. JAYANKONDAM,"",JAYANKONDAM,9443958743,119310.0,
"RAJASTHAN TRADING , MAYAVARAM, MAYILA...","","MAYAVARAM, MAYILADUTHURAI",8760453693,22231.0,
"RAMDEV HANKIES CENTER , MYSORE","",MYSORE,8095225360,5513.5,
"RAMDEV PLASTICS , Chennai","","PERUMAL MUDALI STREET, CHENNAI",,456.0,
"RANUJA FANCY STORE , MANNARGUDI","",MANNARGUDI,8072817112,18260.97,
"RATAN FANCY STORE , TRICHY","",TRICHY,8778076026,30915.02,
"RR GIFTS ,  CUDDALORE","",CUDDALORE,7010102390,37150.4,
"SANGEETHA FASHIONS , THANJAVUR","",THANJAVUR,9787684516,30662.5,
"SANJAY FANCY STORE , Nagapattinam","",Nagapattinam,9994478725,121060.38,
"SANTHOSH PLASTICS , TINDIVANAM","","61,ROTTIKARA STREET, TINDIVANAM-604001",9444822284,10150.0,
"SARASWATHI BANGLES , ARANTHANGI","",ARANTHANGI,9940999820,21560.0,
"SARASWATHI ENTERPRISES , SALEM","",SALEM,9443330373,785.0,
"SHA HANJARIMAL DEVICHAND , Perambalur","",Perambalur,9894824658,80094.03,
"SHIVA SHAKTI BANGLES , TINDIVANAM","",TINDIVANAM,8248433305,45835.0,
"SHIV SHAKTI FANCY STORE , PATTUKOTTAI,","",PATTUKOTTAI,9489319403,3750.0,
"SHREE MAHAVEER STORE , TIRUKOVILUR","",TIRUKOVILUR,9944743494,33387.0,
"SHREE RAJAGANAPATHY TEXTILES , Madurai",33ABNPT2231L1ZG,"34, GROUND FLOOR, PANTHADI THIRD STREET, MADURAI",9842515831,12783.0,
