S K T
Phone No: 9150366098


Cash and Bank Statement
Dated: 2023-04-01-2024-03-31


Date,Type,Txn No,Party,Invoice numbers,Mode,Paid,Received,Balance
2024-03-29,Expense,2150,"","",Cash,90.0,0,-
2024-03-28,Payment-in,1450,"SHIV SHAKTI FANCY STORE , PATTUKOTTAI,",SKT001994,Online,0,3101.0,-
2024-03-28,Expense,2149,"","",Cash,2400.0,0,-
2024-03-27,Expense,2148,"","",Cash,1620.0,0,-
2024-03-27,Payment-out,594,"EKTA FABRICS(KRISHNA) , AHMEDABAD",669,Online,12780.0,0,-
2024-03-27,Payment-out,593,"EKTA FABRICS(KRISHNA) , AHMEDABAD","669, 653",Online,14702.0,0,-
2024-03-27,Payment-out,592,"EKTA FABRICS(KRISHNA) , AHMEDABAD",653,Online,15330.0,0,-
2024-03-27,Payment-out,591,"SUMEET TEXILES , KARUR",620,Online,16236.0,0,-
2024-03-26,Expense,2147,"","",Cash,1200.0,0,-
2024-03-26,Payment-in,1449,"BALAJI CAP HOUSE, Chennai","SKT001895, SKT001529",Cash,0,10000.0,-
2024-03-26,Payment-out,590,New narasingh hosiery,560,Cash,35460.0,0,-
2024-03-26,Payment-out,589,"SUBH LAKSHMI MARKETING , Chennai",689,Cash,2673.65,0,-
2024-03-26,Payment-out,588,"SHYAM TEXTILES , PALLIPALAYAM, ERODE","685, 672, 671, 666",Cash,200000.0,0,-
2024-03-26,Payment-out,587,"RAMDEV TRADING COMPANY , AHMEDABAD",684,Online,5670.0,0,-
2024-03-26,Payment-out,586,"RAMDEV TRADING COMPANY , AHMEDABAD",684,Online,4410.0,0,-
2024-03-26,Payment-out,585,"RAMDEV TRADING COMPANY , AHMEDABAD",684,Online,5670.0,0,-
2024-03-26,Payment-out,584,"RAMDEV TRADING COMPANY , AHMEDABAD",684,Online,13965.0,0,-
2024-03-26,Payment-out,583,"RAMDEV TRADING COMPANY , AHMEDABAD","684, 679, 663, 662",Cash,128400.0,0,-
2024-03-25,Payment-out,582,KIRAN LONE BOI,"",Cash,8000.0,0,-
2024-03-25,Payment-out,581,UKESH LOAN BOI,"",Online,11000.0,0,-
2024-03-25,Expense,2146,"","",Cash,39860.0,0,-
2024-03-25,Reduce Money,190,"","",Bank,40000.0,0,-
2024-03-25,Add Money,190,"","",Cash,0,40000.0,-
2024-03-25,Reduce Money,189,"","",Bank,428.0,0,-
2024-03-25,Add Money,189,"","",Cash,0,430.0,-
2024-03-25,Add Money,188,"","",Bank,0,13400.0,-
2024-03-25,Reduce Money,188,"","",Cash,13400.0,0,-
2024-03-23,Expense,2145,"","",Cash,5270.0,0,-
2024-03-23,Payment-in,1448,"GUNA READYMADE , VILANKANNI  NAGAPATTINAM",SKT001973,Online,0,10540.0,-
2024-03-23,Reduce Money,187,"","",Bank,0.41,0,-
2024-03-23,Payment-in,1447,"SHA HANJARIMAL DEVICHAND , Perambalur",SKT001987,Cash,0,3189.0,-
2024-03-23,Payment-out,580,"ASHOKAA. , Komarapalayam",634,Cash,3189.0,0,-
2024-03-23,Payment-out,579,"ASHOKAA. , Komarapalayam",634,Online,1413.0,0,-
2024-03-23,Payment-out,578,"ASHOKAA. , Komarapalayam","634, 630",Online,22160.0,0,-
2024-03-22,Payment-in,1446,"RAJASTHAN TRADING , MAYAVARAM, MAYILADUTHURAI","SKT001990, SKT001701",Online,0,15000.0,-
2024-03-22,Expense,2144,"","",Cash,1170.0,0,-
2024-03-22,Payment-in,1445,"JAGDISH AGENCY , Chennai","SKT001992, SKT001959",Cash,0,6240.0,-
2024-03-22,Payment-in,1444,"NEW BALU VALAYAL MANDI ,  MAYILADUTHURAI","SKT001948, SKT001891",Cash,0,12920.0,-
2024-03-22,Payment-in,1442,"SANJAY FANCY STORE , Nagapattinam","SKT001956, SKT001829",Cash,0,25000.0,-
2024-03-21,Payment-in,1441,"RAMDEV NOVELTY , THANJAVUR,","SKT001929, SKT001849",Cash,0,15000.0,-
2024-03-21,Payment-in,1440,"SANGEETHA FASHIONS , THANJAVUR",SKT001793,Cash,0,10000.0,-
2024-03-21,Expense,2143,"","",Cash,12810.0,0,-
2024-03-21,Expense,2142,"","",Bank,3585.0,0,-
2024-03-21,Payment-in,1439,"RANUJA FANCY STORE , MANNARGUDI",SKT001928,Cash,0,5000.0,-
2024-03-21,Payment-in,1438,"SRI DHANALAKSHMI FANCY STORE , THIRUTHURAIPOONDI",SKT001970,Cash,0,25000.0,-
2024-03-21,Payment-in,1437,"SHIV SHAKTI FANCY STORE , PATTUKOTTAI,",SKT001785,Cash,0,3700.0,-
2024-03-21,Payment-in,1436,"JAI BHAVANI , Thiruthuraipoondi","SKT001963, SKT001540",Online,0,10428.0,-
2024-03-21,Payment-in,1435,"MK DECORS , Chennai","SKT001951, SKT001943, SKT001872, SKT001852",Online,0,12240.0,-
2024-03-20,Payment-in,1434,"BISMI CUT PIECE, PATTUKOTTAI","SKT001860, SKT001835, SKT001773",Cash,0,20000.0,-
2024-03-20,Payment-in,1433,"ANANTHAM TEXTILES, Pattukottai",SKT001721,Cash,0,20000.0,-
2024-03-20,Expense,2141,"","",Bank,239.0,0,-
2024-03-20,Payment-in,1432,RAJARAM BANGLES. JAYANKONDAM,"SKT001831, SKT001774, SKT001722",Online,0,40000.0,-
2024-03-20,Expense,2140,"","",Cash,1030.0,0,-
