S K T
Phone No: 9150366098


HSN WISE SALES REPORT
Dated: 2023-04-01-2024-03-31


HSN,Item Name,Total Quantity,Unit,Total Value,Taxable Value,IGST,CGST,SGST,CESS,Total Tax Amount
"",100,162.0,PKT,18180.0,18042.46,0.0,0.0,0.0,0.0,0.0
"",101 SOFEX,135.0,PCS,9374.0,9290.63,0.0,0.0,0.0,0.0,0.0
"",150,233.0,PKT,25645.0,25353.09,0.0,0.0,0.0,0.0,0.0
"",1616WHITE,109.0,PCS,12525.0,12082.26,0.0,0.0,0.0,0.0,0.0
"",1818WB,136.0,PCS,17511.0,17400.3,0.0,0.0,0.0,0.0,0.0
"",1818WHITE,685.0,PCS,90655.0,90154.78,0.0,0.0,0.0,0.0,0.0
"",2222WT,718.0,DOZ,112695.0,111767.16,0.0,0.0,0.0,0.0,0.0
"",44 scarf ,60.0,PCS,13560.0,13560.0,0.0,0.0,0.0,0.0,0.0
"",46 scarf ,40.0,PCS,12720.0,12659.08,0.0,0.0,0.0,0.0,0.0
"",51 no cap,180.0,PCS,5544.0,5433.96,0.0,0.0,0.0,0.0,0.0
"",55 SCARF,114.0,PCS,40140.0,39956.34,0.0,0.0,0.0,0.0,0.0
"",704 cap,48.0,PCS,2112.0,2097.58,0.0,0.0,0.0,0.0,0.0
"",ACE 1 Pcs Box,55.0,PCS,11247.0,11226.33,0.0,0.0,0.0,0.0,0.0
"",ANGEL ,192.0,DOZ,12287.0,12163.0,0.0,0.0,0.0,0.0,0.0
"",APSARA,103.0,PCS,6543.0,6507.17,0.0,0.0,0.0,0.0,0.0
"",BABY BLANKET,11.0,PCS,720.0,720.0,0.0,0.0,0.0,0.0,0.0
"",BABY HEAVY,36.0,PCS,3060.0,3060.0,0.0,0.0,0.0,0.0,0.0
"",baby soft cap,60.0,PCS,1896.0,1896.0,0.0,0.0,0.0,0.0,0.0
"",BABY SUIT 00,76.0,PCS,5940.0,5940.0,0.0,0.0,0.0,0.0,0.0
"",BABY SUIT 18,6.0,PCS,450.0,419.03,0.0,0.0,0.0,0.0,0.0
"",BAG ,375.0,PCS,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0
"",BLACK MASK,52000.0,PCS,39020.0,38904.11,0.0,0.0,0.0,0.0,0.0
"",BLESSING,252.0,PCS,22474.0,22330.91,0.0,0.0,0.0,0.0,0.0
"",BOBBY,140.0,PCS,11220.0,11164.19,0.0,0.0,0.0,0.0,0.0
"",BOOBY,321.0,PCS,25895.0,25869.1,0.0,0.0,0.0,0.0,0.0
"",BULLET67MM,26.0,PCS,4313.0,4118.04,0.0,0.0,0.0,0.0,0.0
"",C BLACK,530.0,BOX,39396.0,39332.79,0.0,0.0,0.0,0.0,0.0
"",C BLACK SK,250.0,PCS,11935.0,11760.57,0.0,0.0,0.0,0.0,0.0
"",C COLOURS,76.0,PCS,5648.0,5648.0,0.0,0.0,0.0,0.0,0.0
"",C GREEN,260.0,PCS,19170.0,19076.39,0.0,0.0,0.0,0.0,0.0
"",C GREEN,-5.0,PCS,-360.0,-360.0,-0.0,-0.0,-0.0,-0.0,-0.0
"",CHECK POLO CAP,246.0,PCS,55576.0,54985.89,0.0,0.0,0.0,0.0,0.0
"",COUNTRY,51.0,PCS,10462.0,10453.3,0.0,0.0,0.0,0.0,0.0
"",C RED ,638.0,BOX,47116.0,47020.18,0.0,0.0,0.0,0.0,0.0
"",C RED SK,294.0,PCS,13245.0,13245.0,0.0,0.0,0.0,0.0,0.0
"",DART 67MM,51.0,PCS,8160.0,7914.37,0.0,0.0,0.0,0.0,0.0
"",DISCO,20.0,PCS,1920.0,1815.78,0.0,0.0,0.0,0.0,0.0
"",DOLLAR,12.0,DOZ,900.0,900.0,0.0,0.0,0.0,0.0,0.0
"",DOLPHIN,882.0,PKT,69960.0,69643.73,0.0,0.0,0.0,0.0,0.0
"",ELEPHANT ,49.0,PCS,9850.0,9839.64,0.0,0.0,0.0,0.0,0.0
"",FASHION,1566.0,PCS,109155.0,108149.48,0.0,0.0,0.0,0.0,0.0
"",Five star 1218,25.0,PCS,3300.0,3300.0,0.0,0.0,0.0,0.0,0.0
"",FOMA CAP BIG COMP EMB,223.0,DOZ,62866.0,62437.05,0.0,0.0,0.0,0.0,0.0
"",FOSSIL,455.0,PCS,43242.0,43149.39,0.0,0.0,0.0,0.0,0.0
"",GEET PS ,1769.0,PCS,123872.0,123105.38,0.0,0.0,0.0,0.0,0.0
"",GEET PS ,-9.0,PCS,-675.0,-675.0,-0.0,-0.0,-0.0,-0.0,-0.0
"",HAMMER,68.0,PCS,11900.0,11711.52,0.0,0.0,0.0,0.0,0.0
