S K T
Phone No: 9150366098


Item Summary Report
Dated: 2023-04-01-2024-03-31
Total Sales Quantity: 217594.0
Total Purchase Quantity: 211635.0


Item Name,Unit,Sales Quantity,Purchase Quantity
BLUE MASK,PCS,75700.0,63500.0
BLACK MASK,PCS,52000.0,48000.0
R WHITE,DOZ,7163.0,7320.0
RAJA,DOZ,6428.0,6225.0
9IN1,DOZ,4165.0,4200.0
PARI FLOWER,DOZ,3682.0,4250.0
ROSE PRINT,PAC,3247.0,3200.0
KANPATTI,PCS,2738.0,2900.0
STAR MIX,PAC,2277.0,2670.0
MUDICHI SMALL,DOZ,2101.0,2490.0
MUDICHI BIG,DOZ,1975.0,2192.0
GEET PS ,PCS,1769.0,2100.0
VENUS 50MM LS,BOX,1758.0,1759.0
PINK,DOZ,1602.0,800.0
FASHION,PCS,1566.0,1480.0
TAJ,DOZ,1528.0,1500.0
BULLET,DOZ,1387.0,1150.0
ZARA,DOZ,1289.0,1200.0
DISCOVERY,DOZ,1214.0,1350.0
VENUS 50MM,BOX,1185.0,1100.0
MACHO,DOZ,1174.0,1125.0
KT16*26,PCS,1167.0,1340.0
Rose print 1218,PCS,1095.0,1390.0
STAR 17*17,PCS,1006.0,950.0
NADA 250Gram,PCS,993.0,1320.0
GOLDEN,DOZ,973.0,1000.0
WINNER 30MM,PCS,960.0,0.0
Oscar,PKT,934.0,1080.0
VENUS 45MM,BOX,921.0,930.0
DOLPHIN,PKT,882.0,1350.0
PARI [B],DOZ,874.0,500.0
MONA [FLOWER],DOZ,829.0,900.0
JUHI,DOZ,814.0,1200.0
JULIET,DOZ,784.0,1250.0
Macho L,DOZ,735.0,335.0
2222W,DOZ,718.0,900.0
1818WHITE,PCS,685.0,800.0
VIJAY,DOZ,677.0,675.0
ISHA,DOZ,676.0,1100.0
TOWEL1218,PCS,660.0,750.0
C RED ,BOX,638.0,638.0
VENUS 35MM,BOX,636.0,745.0
ROYAL KING,DOZ,613.0,650.0
2200,DOZ,586.0,675.0
SOFEX,PCS,583.0,780.0
ANGEL ARCO,DOZ,549.0,0.0
C BLACK,BOX,530.0,422.0
THIN RED,BOX,522.0,485.0
KT 12*18,PCS,470.0,430.0
ROYAL,PCS,464.0,570.0
BOBBY,PCS,461.0,600.0
SS RED,PCS,460.0,283.0
FOSSIL,PCS,455.0,840.0
VENUS 60MM,BOX,448.0,496.0
NOORI,PCS,429.0,510.0
IPL 50MM,BOX,414.0,507.0
POLO CAP BIG COMP EMB,DOZ,386.0,420.0
BAG ,PCS,375.0,0.0
ANGEL ROLL,DOZ,360.0,600.0
TULIP,PCS,350.0,350.0
THIN BLACK,PCS,340.0,311.0
krishna,PCS,339.0,480.0
POLO CAP BIG SIMP EMB,DOZ,338.0,450.0
3000 PS,DOZ,323.0,450.0
STYLE,DOZ,309.0,250.0
SS BLACK,BOX,299.0,409.0
C RED SK,PCS,294.0,393.0
no 5,PCS,288.0,336.0
King 3 Pcs,PCS,284.0,0.0
POLO CAP BABY EMB,DOZ,283.0,260.0
TOWEL1421,PCS,280.0,370.0
C GREEN,PCS,260.0,372.0
