S K T
Phone No: 9150366098


Purchase Summary Report
Dated: 2023-04-01-2024-03-31
Total Purchase: 8399332.66


Purchase No,Original Invoice No,Purchase Date,Party Name,Purchase Amount,Purchase link,Notes
418,"",01-04-2023,"SUBH LAKSHMI MARKETING , Chennai",11570.0,https://billbk.in/i/116fsa7,""
419,"",04-04-2023,"ASHOKAA. , Komarapalayam",14580.0,https://billbk.in/i/13rfcp3,""
420,"",05-04-2023,"NANAK TRADERS(KUNAL),  AHMEDABAD",38304.0,https://billbk.in/i/zpio5g,""
421,"",05-04-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",68500.0,https://billbk.in/i/seq76f,""
422,"",05-04-2023,"SUBH LAKSHMI MARKETING , Chennai",14300.0,https://billbk.in/i/v0g0hn,""
423,"",07-04-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",36900.0,https://billbk.in/i/12cig8b,"cash -18000
bank-18900"
424,"",07-04-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",31160.0,https://billbk.in/i/15j3435,"cash-15200
cheque-15960"
425,"",11-04-2023,"DEEPA TRADERS , Komarapalayam",15200.0,https://billbk.in/i/vwfp6o,""
426,"",11-04-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",22300.0,https://billbk.in/i/1826rzk,"CASH-16000
BANK-6300"
427,"",13-04-2023,"BANKE BIHARI METAL WORKS ,Aligarh",62690.0,https://billbk.in/i/17y11yx,""
428,"",13-04-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",29850.0,https://billbk.in/i/11g93rz,""
429,"",18-04-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",21000.0,https://billbk.in/i/12z7d3t,""
430,"",18-04-2023,"JAIPUR TEXTILES , JAIPUR,",33768.0,https://billbk.in/i/15qamn6,"cash-16128
bank-17640"
431,"",19-04-2023,"K.L.M TEXTILES , Erode",36750.0,https://billbk.in/i/10wonpm,""
432,"",20-04-2023,"SUMEET TEXILES , KARUR",17159.0,https://billbk.in/i/zcllhb,"bank-8789
cash-8370"
433,"",20-04-2023,"BANKE BIHARI METAL WORKS ,Aligarh",23385.0,https://billbk.in/i/x8py4r,""
434,"",24-04-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",36285.0,https://billbk.in/i/10wphuy,cash - 17700 bank - 18585
435,"",24-04-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",70508.0,https://billbk.in/i/xhhul0,
436,"",24-04-2023,"RSC TEXTILES , SOLAPUR-",25950.0,https://billbk.in/i/14s8jvt,""
437,"",27-04-2023,"SUBH LAKSHMI MARKETING , Chennai",7365.0,https://billbk.in/i/10bcf0s,""
438,"",29-04-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://billbk.in/i/t6zlxj,""
439,"",04-05-2023,"SUMEET TEXILES , KARUR",15876.0,https://billbk.in/i/urahgm,""
440,"",04-05-2023,"BALAMURUGAN TEXTILES , Erode",24546.0,https://billbk.in/i/17po7mf,""
441,"",08-05-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28300.0,https://billbk.in/i/vtnxql,""
442,"",09-05-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",13940.0,https://billbk.in/i/w6bukr,"cash- 6800
bank-7140"
443,"",09-05-2023,"JAIPUR TEXTILES , JAIPUR,",21640.0,https://billbk.in/i/z0l5dv,"cash-10368
bank-11340"
444,"",16-05-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://billbk.in/i/13du0zj,""
445,"",17-05-2023,"K.L.M TEXTILES , Erode",36120.0,https://billbk.in/i/zg7qu9,""
446,"",17-05-2023,"BANKE BIHARI METAL WORKS ,Aligarh",37208.0,https://billbk.in/i/y9a4u3,""
447,"",22-05-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://billbk.in/i/13ita20,""
448,"",25-05-2023,"BANKE BIHARI METAL WORKS ,Aligarh",39925.0,https://billbk.in/i/t8vu82,""
449,"",27-05-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",84250.0,https://billbk.in/i/xxidli,""
450,"",01-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",22658.0,https://billbk.in/i/13twcj7,""
451,"",01-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",25732.0,https://billbk.in/i/xg6iuw,""
452,"",02-06-2023,"K.L.M TEXTILES , Erode",46620.0,https://billbk.in/i/vq7lxy,""
453,"",02-06-2023,"ASHOKAA. , Komarapalayam",10692.0,https://billbk.in/i/12tvwob,""
454,"",03-06-2023,"ASHOKAA. , Komarapalayam",13932.0,https://billbk.in/i/12bj4qt,""
455,"",07-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",17210.0,https://billbk.in/i/1193yvv,""
456,"",07-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",32947.0,https://billbk.in/i/z9l55m,""
457,"",07-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",40287.0,https://billbk.in/i/uorkc5,""
458,"",07-06-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",26400.0,https://billbk.in/i/1789xcf,""
459,"",07-06-2023,"JAIPUR TEXTILES , JAIPUR,",24723.0,https://billbk.in/i/13h0rm5,"CASH-11808
BANK-12915"
460,"",07-06-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",17835.0,https://billbk.in/i/131j6vl,"CASH-8700
BANK-9135"
461,"",07-06-2023,"RSC TEXTILES , SOLAPUR-",38682.0,https://billbk.in/i/16qp6pi,""
462,"",07-06-2023,"NANAK TRADERS(KUNAL),  AHMEDABAD",44050.0,https://billbk.in/i/w2efyn,""
463,"",10-06-2023,"ASHOKAA. , Komarapalayam",13673.0,https://billbk.in/i/waurba,""
464,"",13-06-2023,"EKTA FABRICS(KRISHNA) , AHMEDABAD",20552.0,https://billbk.in/i/10vltnh,"cash-10025
bank-10527"
465,"",13-06-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",36800.0,https://billbk.in/i/17jgkav,"cash- 28400
bank-8400"
466,"",13-06-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",28000.0,https://billbk.in/i/s5etu9,""
467,"",15-06-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",63650.0,https://mybillbook.in/i/14erfcg,""
468,"",16-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",50200.0,https://mybillbook.in/i/twykyj,""
469,"",20-06-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",36055.0,https://mybillbook.in/i/wjlhs1,"cash-17100
bank-17955"
470,"",20-06-2023,"JAIPUR TEXTILES , JAIPUR,",49767.0,https://mybillbook.in/i/yqgoyz,"cash-27087
bank-22680"
471,"",21-06-2023,"RSC TEXTILES , SOLAPUR-",43470.0,https://mybillbook.in/i/15pmn1w,""
472,"",21-06-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",13940.0,https://mybillbook.in/i/xbbf85,"cash-6800
bank-7140"
473,"",21-06-2023,"BALAJI HOSIERY, Mysore",34178.0,https://mybillbook.in/i/1284t57,""
474,"",23-06-2023,"JAIPUR TEXTILES , JAIPUR,",24884.0,https://mybillbook.in/i/155dyin,"CASH-13544
BANK-11340"
475,"",23-06-2023,"BALAMURUGAN TEXTILES , Erode",27601.0,https://mybillbook.in/i/t3nz7s,""
476,"",24-06-2023,"ANUSRI TEX ,KOMARAPALAYAM",48112.0,https://mybillbook.in/i/14sad3e,""
477,"",28-06-2023,"BANKE BIHARI METAL WORKS ,Aligarh",35235.66,https://mybillbook.in/i/w0bgpq,""
478,"",28-06-2023,"RAMDEV TRADING COMPANY , AHMEDABAD",20145.0,https://mybillbook.in/i/15tk65r,"CASH = 16680
BILL AMOUNT - 3465"
479,"",28-06-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",29100.0,https://mybillbook.in/i/183evl9,""
480,"",01-07-2023,"SUMEET TEXILES , KARUR",34440.0,https://mybillbook.in/i/16ee4fg,CASH-16800 BANK-17640
481,"",01-07-2023,"R S TEXTILES , AMBEDKAR NAGAR U.P",17835.0,https://mybillbook.in/i/ut9gjd,"CASH-8700
BANK-9135"
482,"",01-07-2023,"JAIPUR TEXTILES , JAIPUR,",24723.0,https://mybillbook.in/i/13tueba,"CASH-11808
BANK-12915"
483,"",03-07-2023,"SHYAM TEXTILES , PALLIPALAYAM, ERODE",45125.0,https://mybillbook.in/i/z0t974,""
