S K T
Phone No: 9150366098


Rate List
Dated: 2019-04-25-2025-11-21


Name,Code,MRP,Price
100,100,0.0,120.0
101 SOFEX,101 SOFEX,0.0,75.0
150,150,0.0,120.0
1818WB,1818WB,0.0,135.0
1818WHITE,1818WHITE,0.0,135.0
2020WHITE,2020WHITE,0.0,173.0
2121 WHITE,2121,0.0,162.0
2200,2200,0.0,125.0
2222W,2222WT,0.0,170.0
2222WB,"",0.0,165.0
3000 PS,300,0.0,75.0
44 scarf ,"",0.0,246.0
46 scarf ,"",0.0,342.0
478 MONKEY CAP,478 MONKEY,0.0,480.0
50MM ANTIC,"",0.0,75.0
51 no cap,51,0.0,30.0
55 SCARF,55 SCARF,0.0,390.0
5D,"",0.0,120.0
6000 PS,600,0.0,85.0
65MM ACTIVE,65MM ACTIVE,0.0,95.0
65MM ANTIC,"",0.0,85.0
704 cap,704,0.0,46.0
850 DC,850DC,0.0,104.0
9IN1,9IN1,0.0,150.0
ACCESSORIES SET OF 9 ,"",0.0,12000.0
ACE ,"",0.0,96.0
ACE 1 Pcs Box,ACE 1pcs,0.0,210.0
AKSHARA,AKSH,0.0,88.0
ALEXA,"",0.0,80.0
ANGEL ARCO,ANGA,0.0,65.0
ANGEL ROLL,ANGR,0.0,67.0
APSARA,APSARA,0.0,69.0
AQUA,"",0.0,80.0
BABY BLANKET,BABY BLANKET,0.0,70.0
BABY HEAVY,BABY HEAVY,0.0,85.0
baby soft cap,baby soft cap,0.0,30.0
BABY SUIT 00,00,0.0,75.0
BABY SUIT 18,18,0.0,75.0
BAG ,BAG,0.0,160.0
BLACK MASK,BLMASK,0.0,0.75
BLESSING,"",0.0,92.0
BLUE MASK,MMASK,0.0,0.75
BOBBY,BOBBY,0.0,85.0
BOOMER,"",0.0,130.0
BUBBLY ,BUBBLY,0.0,66.0
BUDAN PRO,"",0.0,78000.0
BULLET,BULL,0.0,94.0
BULLET67MM,BULLET67MM,0.0,168.0
CARTOON LC,CARLC,0.0,90.0
C BLACK,CB,0.0,80.0
C BLACK SK,C BLACK SK,0.0,50.0
C GREEN,C GREEN,0.0,80.0
CHECK,CHECK,0.0,112.5
CHECK POLO CAP,CHECK POLO CAP,0.0,240.0
COLORS,COLO,0.0,170.0
COTTON C,COTTON C,0.0,0.0
COTTON S,COTTON S,0.0,0.0
COTTON THREAD,COT01,0.0,190.0
COUNTRY,COUNTRY,0.0,192.0
C RED ,CR,0.0,80.0
C RED SK,C RED SK,0.0,50.0
DART 67MM,DART67MM,0.0,160.0
Delta,"",0.0,50.0
DIAMOND 67MM,D67,0.0,132.0
DISCOVERY,DISC,0.0,125.0
DOLPHIN,DOLPHIN,0.0,85.0
ELEPHANT ,ELEPHANT,0.0,210.0
EMBOSS,EMBO,0.0,120.0
Famous lungi ,FAMOUS LUNGI,0.0,78.0
FASHION,FASHION,0.0,72.0
FIGHTER60MM,FIGHTER60MM,0.0,190.0
Five COLOURS,C COLOUR,0.0,95.0
FLOWER LC,FLOLC,0.0,90.0
FOMA CAP BIG COMP EMB,FOMA ,0.0,324.0
FOSSIL,"",0.0,100.0
GEET PS ,GEET PS,0.0,72.0
GLOBE,"",0.0,155.0
GOLD,GOLD,0.0,27.0
GOLDEN,GOLDN,0.0,48.0
HAMMER,HAMMER,0.0,175.0
HC TITAN 1,"",0.0,34000.0
HEENA,HEEN,0.0,29.0
HONEY,"",0.0,90.0
IPL 25MM [2KEYS],IPL252K,0.0,108.0
IPL 35MM,IPL35,0.0,210.0
IPL 45 MM,IPL45,0.0,144.0
IPL 50MM,IPL50,0.0,168.0
IPL 60MM,IPL60,0.0,234.0
ISHA,ISHA,0.0,60.0
JASMINE,JASMINE,0.0,73.0
JAYKAT SCARF 5 NO,SCARF01,0.0,356.0
JERRY,"",0.0,130.0
JIGNA ROPE,JIGNA,0.0,85.0
JIO19,JIO19,0.0,125.0
JONNY SOFEX,JONNY SOFEX,0.0,75.0
JOY SOFEX,JOY SOFEX,0.0,75.0
JUHI,JUHI,0.0,95.0
JUHI CUT,JUHI CUT,0.0,88.0
JULIET,JULI,0.0,85.0
KAJAL LC,KAJ,0.0,77.0
KANPATTI,KANPATTI,0.0,180.0
King 3 Pcs,king 3pcs,0.0,60.0
KITTI,"",0.0,85.0
krishna,krishna,0.0,60.0
KT 12*18,KT1218,0.0,66.0
KT16*16,KT1616,0.0,72.0
KT16*26,KT1626,0.0,90.0
LADDU SCARF,"",0.0,480.0
Ladies 3pcs box,Ladies 3pcs box,0.0,50.0
ladies purse,purse,0.0,75.0
LEO,LEO,0.0,77.0
LOT,"",0.0,54.0
LOTUS,"",0.0,80.0
LOTUS 2424,LOTUS24,0.0,158.0
lungi 500,lungi 500,0.0,82.0
MACHO,MACH,0.0,83.0
Macho L,"",0.0,75.0
MILITARY PATTI ,MILITARY,0.0,146.0
MONA B,MONA B,0.0,45.0
MONA [FLOWER],MONF,0.0,48.0
MONA [W],MONW,0.0,45.0
MONKEY CAP 189,189 MONKEY,0.0,672.0
MONKEY CAP 578,578 MONKEY,0.0,552.0
MONKEY CAP LOVE M,"",0.0,396.0
MONKEY CAP LOVE S,MK LOVE S,0.0,360.0
MUDICHI BIG,MUDIB,0.0,68.0
MUDICHI SMALL,MUDIS,0.0,68.0
n95 360,"",0.0,8.5
n95 medox,"",0.0,10.0
NADA 250Gram,NADA250,0.0,45.0
NADA 300GMS,NADA,0.0,47.0
Napkin1218,"",0.0,150.0
NAVYA BDC,NAVBDC,0.0,86.0
NAVYA CARTOON,NAVCAR,0.0,86.0
NAVYA MAGGIE,NAVMAG,0.0,94.0
NAVYA ROLEX MIX,NAVROL,0.0,94.0
no 1,"",0.0,42.0
no 11,"",0.0,45.0
no 2,"",0.0,35.0
no 3,"",0.0,45.0
no 4 ,"",0.0,45.0
no 5,"",0.0,35.0
no 6,"",0.0,46.0
no 7,"",0.0,45.0
no 8,"",0.0,50.0
no 9,"",0.0,50.0
NOORI,NOORI,0.0,360.0
Oscar,OSC,0.0,75.0
OSCAR 60MM,OSC6,0.0,185.0
PANDA,"",0.0,100.0
PANTHER ,"",0.0,220.0
PARI [B],PARB,0.0,34.0
PARI FLOWER,PARF,0.0,34.0
PC MUDICHI,PCM,0.0,125.0
PETALS,"",0.0,100.0
PINK,PINK,0.0,60.0
PINK CUT,PINK CUT,0.0,60.0
POKEMON,POKE,0.0,41.0
POLKADOT,"",0.0,95.0
POLO CAP BABY EMB,PCAP,0.0,150.0
POLO CAP BIG COMP EMB,PCAP01,0.0,216.0
POLO CAP BIG SIMP EMB,PCAP02,0.0,192.0
POLO CAP COMP BABY 570 NO,POLOBABY,0.0,186.0
POLO EMB PATTI 2,PATTI 2,0.0,114.0
POLO ROUND PATTI 1NO.,PATTI01,0.0,96.0
POWDER PUFF [ATTAI],POWA,0.0,33.0
POWDER PUFF [SADA],POWS,0.0,35.0
POWDER PUFF [VELVET SADA],POWVS,0.0,40.0
RAJA,RAJA,0.0,155.0
RANGILA,RANGILA,0.0,86.0
Rate difference less ,"",0.0,0.0
ROCKET,"",0.0,70.0
ROLEX SOFEX,ROLEX SOFEX,0.0,85.0
ROSE LC,ROSE,0.0,97.0
ROSE PRINT,ROSP,0.0,120.0
Rose print 1218,Rose print1218,0.0,144.0
